well find a way | arch_once | rumpelstiltskin | 0 | 0
i am tired of her getting everything and i | arch_once | regina | 0 | 0
shes going to take really good care of you | arch_once | emma | 0 | 0
if any harm comes to me my brother jaime will see that they do | arch_got | tyrion lannister | 0 | 0
what about our friends from arendelle | arch_once | mr gold | 0 | 0
this is marcos house the town handyman | arch_once | regina | 0 | 1
lords and ladies the faith and the crown are the two pillars that hold up this world | arch_got | tommen | 0 | 0
mary margaret how do you feel about guard duty | arch_once | regina | 0 | 0
i have to give you credit | arch_once | regina | 0 | 0
this looks strangely  familiar | arch_movies | sam | 0 | 0
uh should we read more stories | arch_once | david | 0 | 0
look snow white and the prince have always led us before and weve always won | arch_once | archie | 0 | 0
her father shunned her cut her off shut her out | arch_once | evil queen | 0 | 1
herc i became that hero you always believed i could be | arch_once | mary margaret | 0 | 0
we need to take shelter now | arch_once | hook | 0 | 0
you are not a grandmother | arch_once | hercules | 0 | 1
i dont want you near my boy | arch_once | marco | 0 | 0
well now you can | arch_once | prince charming | 0 | 0
not killian but i know him | arch_once | meg | 0 | 0
he didnt know how | arch_once | hook | 0 | 0
those rain clouds might | arch_movies | sam | 0 | 0
i did this | arch_once | zelena | 0 | 0
take him down below so he can rest | arch_got | lysa | 0 | 0
can i trust you with a secret | arch_once | arthur | 0 | 0
two valentines  sounds like a complicated life | arch_once | mr. gold | 0 | 0
i know i broke my oath | arch_got | will | 0 | 0
no sam  | arch_movies | frodo | 0 | 0
please welcome your new sheriff | arch_once | regina | 0 | 0
but sending it to a place that no longer exists well thats banishing it to oblivion | arch_once | regina | 0 | 0
that would be me | arch_once | anita | 0 | 0
ill make it okay | arch_once | jefferson | 0 | 0
first round at grannys is on me | arch_once | happy | 0 | 0
you know what i want | arch_once | bo peep | 0 | 1
why isnt it working | arch_once | mr gold | 0 | 0
i want my baby | arch_once | ashley | 0 | 0
i mean after were done we could have all this equipment moved to the classrooms could put these guys to work teaching | arch_once | mary margaret | 0 | 1
welcome back brother | arch_once | frankenstein | 0 | 0
names isaac by the way | arch_once | isaac | 0 | 0
where are you going | arch_once | zelena | 0 | 0
if theres a way to defeat hades the answer will have to be in here | arch_once | hook | 0 | 0
you have my thanks but where is the  fourth | arch_movies | aslan | 0 | 1
im afraid ive got something to show you | arch_once | hook | 0 | 0
i like that | arch_once | prince thomas | 0 | 1
if emma used this to rip our memories maybe it can tell us what happened in camelot | arch_once | regina | 0 | 0
we trust him | arch_once | mary margaret | 0 | 0
they are calling  for the preciousss | arch_movies | gollum | 0 | 0
shh  shh  shh my sweet boy | arch_got | lysa | 0 | 0
hook marked it clearly | arch_once | regina | 0 | 0
this isnt about what you did | arch_once | mr. gold | 0 | 0
this is light magic dark one | arch_once | mother superior | 0 | 0
its gonna take a lot more than a magic pipe to take my son | arch_once | rumplestiltskin | 0 | 0
about operation cobra | arch_once | henry | 0 | 0
we lost the boat and we lost a friend | arch_once | hook | 0 | 0
